,total,objectIDs
0,27413,288118
1,27413,459199
2,27413,189708
3,27413,189709
4,27413,189757
5,27413,189758
6,27413,460732
7,27413,848124
8,27413,200413
9,27413,10913
10,27413,10909
11,27413,10912
12,27413,459251
13,27413,196462
14,27413,196497
15,27413,206990
16,27413,206976
17,27413,196452
18,27413,196464
19,27413,200567
20,27413,206983
21,27413,205423
22,27413,196446
23,27413,196467
24,27413,191843
25,27413,467705
26,27413,205442
27,27413,207036
28,27413,464341
29,27413,464707
30,27413,466580
31,27413,466311
32,27413,464156
33,27413,463973
34,27413,463717
35,27413,463768
36,27413,206757
37,27413,464333
38,27413,467647
39,27413,27791
40,27413,23948
41,27413,27619
42,27413,206597
43,27413,464559
44,27413,466045
45,27413,464125
46,27413,464604
47,27413,467594
48,27413,464483
49,27413,469836
50,27413,468381
51,27413,463795
52,27413,465991
53,27413,459365
54,27413,189433
55,27413,189434
56,27413,189536
57,27413,189537
58,27413,189728
59,27413,189544
60,27413,189541
61,27413,189707
62,27413,189528
63,27413,189546
64,27413,189542
65,27413,189729
66,27413,189436
67,27413,189535
68,27413,189543
69,27413,189526
70,27413,189534
71,27413,189711
72,27413,189710
73,27413,193823
74,27413,190556
75,27413,207010
76,27413,471297
77,27413,503528
78,27413,505722
79,27413,472353
80,27413,503502
81,27413,189425
82,27413,205112
83,27413,22631
84,27413,209333
85,27413,199850
86,27413,195425
87,27413,193867
88,27413,24957
89,27413,207406
90,27413,24946
91,27413,201952
92,27413,236124
93,27413,206489
94,27413,200595
95,27413,198766
96,27413,470306
97,27413,470599
98,27413,471137
99,27413,471197
100,27413,471179
101,27413,471136
102,27413,204804
103,27413,199410
104,27413,199707
105,27413,204640
106,27413,195473
107,27413,206604
108,27413,207378
109,27413,199496
110,27413,24865
111,27413,479486
112,27413,475487
113,27413,26557
114,27413,205485
115,27413,205431
116,27413,205526
117,27413,205421
118,27413,205719
119,27413,205107
120,27413,199390
121,27413,199118
122,27413,207667
123,27413,207797
124,27413,201633
125,27413,202996
126,27413,206397
127,27413,207035
128,27413,207152
129,27413,207665
130,27413,207783
131,27413,503930
132,27413,503546
133,27413,202141
134,27413,199502
135,27413,470313
136,27413,474091
137,27413,473682
138,27413,232145
139,27413,200378
140,27413,231893
141,27413,193814
142,27413,199032
143,27413,231980
144,27413,199706
145,27413,199705
146,27413,205422
147,27413,200668
148,27413,200564
149,27413,204634
150,27413,194623
151,27413,209063
152,27413,210774
153,27413,206588
154,27413,205529
155,27413,16589
156,27413,189387
157,27413,186832
158,27413,232047
159,27413,199033
160,27413,198380
161,27413,204092
162,27413,197339
163,27413,471975
164,27413,206965
165,27413,196439
166,27413,24931
167,27413,24937
168,27413,204812
169,27413,202614
170,27413,191803
171,27413,192727
172,27413,473770
173,27413,473769
174,27413,501691
175,27413,472389
176,27413,472181
177,27413,202227
178,27413,202228
179,27413,207247
180,27413,207137
181,27413,24861
182,27413,194622
183,27413,205250
184,27413,205428
185,27413,208898
186,27413,206564
187,27413,207968
188,27413,208058
189,27413,200253
190,27413,202192
191,27413,207549
192,27413,207155
193,27413,238022
194,27413,204706
195,27413,202143
196,27413,470309
197,27413,474436
198,27413,207593
199,27413,201895
200,27413,199313
201,27413,470601
202,27413,470311
203,27413,471462
204,27413,469857
205,27413,469856
206,27413,469853
207,27413,471853
208,27413,474263
209,27413,471988
210,27413,471987
211,27413,208555
212,27413,231788
213,27413,202193
214,27413,436415
215,27413,459071
216,27413,460528
217,27413,10910
218,27413,10914
219,27413,10911
220,27413,21655
221,27413,21656
222,27413,18822
223,27413,15661
224,27413,189522
225,27413,193994
226,27413,193955
227,27413,189530
228,27413,189551
229,27413,189548
230,27413,168730
231,27413,231014
232,27413,236610
233,27413,236121
234,27413,24958
235,27413,34099
236,27413,195426
237,27413,195428
238,27413,195494
239,27413,195493
240,27413,194561
241,27413,192712
242,27413,196724
243,27413,196749
244,27413,196988
245,27413,207509
246,27413,207475
247,27413,207751
248,27413,207788
249,27413,207648
250,27413,205432
251,27413,205443
252,27413,205502
253,27413,205479
254,27413,198750
255,27413,197758
256,27413,199847
257,27413,199001
258,27413,201364
259,27413,199002
260,27413,199000
261,27413,197779
262,27413,205350
263,27413,205441
264,27413,197792
265,27413,202430
266,27413,202429
267,27413,204841
268,27413,204830
269,27413,204829
270,27413,191370
271,27413,206677
272,27413,206619
273,27413,206620
274,27413,206697
275,27413,206966
276,27413,206967
277,27413,206982
278,27413,206995
279,27413,206986
280,27413,206585
281,27413,209131
282,27413,209130
283,27413,209102
284,27413,209107
285,27413,209128
286,27413,209127
287,27413,209126
288,27413,209125
289,27413,209129
290,27413,209017
291,27413,209124
292,27413,208206
293,27413,208146
294,27413,208003
295,27413,27802
296,27413,21973
297,27413,466313
298,27413,466317
299,27413,623095
300,27413,467264
301,27413,467262
302,27413,467260
303,27413,467268
304,27413,467266
305,27413,467265
306,27413,467267
307,27413,196450
308,27413,196489
309,27413,196482
310,27413,196492
311,27413,196475
312,27413,196500
313,27413,196499
314,27413,196504
315,27413,196496
316,27413,196503
317,27413,196501
318,27413,196473
319,27413,196498
320,27413,196465
321,27413,32684
322,27413,22927
323,27413,207666
324,27413,210819
325,27413,467783
326,27413,22896
327,27413,22385
328,27413,24675
329,27413,195315
330,27413,207590
331,27413,207591
332,27413,208071
333,27413,208072
334,27413,207807
335,27413,207880
336,27413,207949
337,27413,26741
338,27413,464358
339,27413,464374
340,27413,463871
341,27413,463870
342,27413,464251
343,27413,464612
344,27413,468316
345,27413,465874
346,27413,465880
347,27413,465870
348,27413,708306
349,27413,825977
350,27413,825983
351,27413,700806
352,27413,746938
353,27413,208173
354,27413,189462
355,27413,231244
356,27413,236105
357,27413,206605
358,27413,208130
359,27413,206985
360,27413,23365
361,27413,205498
362,27413,195410
363,27413,206495
364,27413,189718
365,27413,207686
366,27413,236098
367,27413,189719
368,27413,22394
369,27413,22231
370,27413,194662
371,27413,207700
372,27413,189304
373,27413,845839
374,27413,817184
375,27413,206912
376,27413,208014
377,27413,208069
378,27413,206968
379,27413,206973
380,27413,205091
381,27413,22986
382,27413,22987
383,27413,35823
384,27413,188799
385,27413,188801
386,27413,188805
387,27413,188796
388,27413,188794
389,27413,188798
390,27413,188807
391,27413,188815
392,27413,188817
393,27413,193343
394,27413,230976
395,27413,210670
396,27413,210818
397,27413,189381
398,27413,189426
399,27413,189745
400,27413,189683
401,27413,207942
402,27413,204834
403,27413,205523
404,27413,205438
405,27413,205439
406,27413,202014
407,27413,202004
408,27413,201993
409,27413,202099
410,27413,198570
411,27413,198571
412,27413,198659
413,27413,197786
414,27413,197784
415,27413,197790
416,27413,197785
417,27413,197787
418,27413,197783
419,27413,200662
420,27413,199851
421,27413,196799
422,27413,196757
423,27413,196758
424,27413,195406
425,27413,194154
426,27413,193575
427,27413,825841
428,27413,825979
429,27413,187532
430,27413,187506
431,27413,187517
432,27413,187533
433,27413,187566
434,27413,187545
435,27413,187540
436,27413,188347
437,27413,191260
438,27413,191331
439,27413,189962
440,27413,189954
441,27413,236029
442,27413,209315
443,27413,812566
444,27413,825834
445,27413,825970
446,27413,825981
447,27413,825955
448,27413,26701
449,27413,825833
450,27413,825829
451,27413,849461
452,27413,825933
453,27413,825985
454,27413,825935
455,27413,825824
456,27413,849462
457,27413,212216
458,27413,210636
459,27413,236145
460,27413,197166
461,27413,201998
462,27413,206601
463,27413,206791
464,27413,206674
465,27413,207392
466,27413,206975
467,27413,202957
468,27413,187015
469,27413,209245
470,27413,22936
471,27413,193344
472,27413,462776
473,27413,464368
474,27413,464367
475,27413,464373
476,27413,464475
477,27413,464482
478,27413,464480
479,27413,464510
480,27413,464597
481,27413,464564
482,27413,464563
483,27413,464593
484,27413,464566
485,27413,464565
486,27413,464567
487,27413,464561
488,27413,464214
489,27413,464334
490,27413,464288
491,27413,464324
492,27413,464325
493,27413,464621
494,27413,464645
495,27413,464662
496,27413,464683
497,27413,464658
498,27413,464623
499,27413,464659
500,27413,464631
501,27413,464632
502,27413,464649
503,27413,464640
504,27413,464657
505,27413,464616
506,27413,464651
507,27413,464618
508,27413,464653
509,27413,464677
510,27413,464633
511,27413,464685
512,27413,464702
513,27413,464709
514,27413,464699
515,27413,464613
516,27413,464647
517,27413,464661
518,27413,464695
519,27413,464696
520,27413,464279
521,27413,22389
522,27413,35867
523,27413,470310
524,27413,206610
525,27413,206611
526,27413,206609
527,27413,206621
528,27413,206615
529,27413,466316
530,27413,466315
531,27413,466566
532,27413,466404
533,27413,466395
534,27413,466637
535,27413,466638
536,27413,466636
537,27413,466802
538,27413,466823
539,27413,467263
540,27413,467259
541,27413,467492
542,27413,467489
543,27413,467493
544,27413,467508
545,27413,467490
546,27413,467610
547,27413,467494
548,27413,467630
549,27413,467679
550,27413,467632
551,27413,467633
552,27413,467784
553,27413,204794
554,27413,205225
555,27413,464131
556,27413,464169
557,27413,464154
558,27413,464211
559,27413,464212
560,27413,464004
561,27413,464005
562,27413,463970
563,27413,464006
564,27413,463969
565,27413,463972
566,27413,464048
567,27413,463614
568,27413,463680
569,27413,463689
570,27413,463613
571,27413,463758
572,27413,463747
573,27413,463762
574,27413,463776
575,27413,463718
576,27413,463802
577,27413,463786
578,27413,464225
579,27413,825980
580,27413,835327
581,27413,835320
582,27413,835324
583,27413,187480
584,27413,477724
585,27413,194574
586,27413,195414
587,27413,201451
588,27413,198565
589,27413,198567
590,27413,206336
591,27413,206991
592,27413,238554
593,27413,194568
594,27413,206700
595,27413,207352
596,27413,24816
597,27413,21925
598,27413,21945
599,27413,35824
600,27413,189732
601,27413,195507
602,27413,21979
603,27413,22770
604,27413,22376
605,27413,209177
606,27413,823979
607,27413,205497
608,27413,236108
609,27413,206531
610,27413,207752
611,27413,191329
612,27413,236107
613,27413,205518
614,27413,209080
615,27413,199031
616,27413,236089
617,27413,207693
618,27413,188334
619,27413,196367
620,27413,206994
621,27413,208056
622,27413,208055
623,27413,205528
624,27413,202929
625,27413,209018
626,27413,189271
627,27413,191081
628,27413,464369
629,27413,466697
630,27413,464366
631,27413,231910
632,27413,238552
633,27413,202165
634,27413,202144
635,27413,202225
636,27413,210662
637,27413,192673
638,27413,191807
639,27413,191805
640,27413,195186
641,27413,195221
642,27413,188811
643,27413,190481
644,27413,190454
645,27413,191292
646,27413,191848
647,27413,189265
648,27413,188813
649,27413,204793
650,27413,204715
651,27413,207029
652,27413,207358
653,27413,207490
654,27413,207484
655,27413,207803
656,27413,207566
657,27413,207028
658,27413,196443
659,27413,196444
660,27413,196463
661,27413,196441
662,27413,196451
663,27413,196453
664,27413,196466
665,27413,196449
666,27413,196479
667,27413,196470
668,27413,196526
669,27413,196474
670,27413,22937
671,27413,206398
672,27413,205444
673,27413,208212
674,27413,187549
675,27413,188810
676,27413,188814
677,27413,188797
678,27413,188803
679,27413,189171
680,27413,26835
681,27413,35866
682,27413,207407
683,27413,206980
684,27413,210601
685,27413,210820
686,27413,231030
687,27413,226956
688,27413,207506
689,27413,206554
690,27413,208161
691,27413,208188
692,27413,207881
693,27413,236104
694,27413,238822
695,27413,205527
696,27413,22226
697,27413,204766
698,27413,197730
699,27413,197731
700,27413,197729
701,27413,197357
702,27413,197475
703,27413,197732
704,27413,197810
705,27413,197761
706,27413,195017
707,27413,196160
708,27413,196505
709,27413,196485
710,27413,196506
711,27413,209123
712,27413,207515
713,27413,207687
714,27413,207753
715,27413,207567
716,27413,207554
717,27413,207555
718,27413,208061
719,27413,208044
720,27413,207496
721,27413,207547
722,27413,208060
723,27413,209246
724,27413,206616
725,27413,206787
726,27413,206334
727,27413,188839
728,27413,188795
729,27413,23946
730,27413,191864
731,27413,770198
732,27413,205522
733,27413,231962
734,27413,822351
735,27413,822723
736,27413,194242
737,27413,191809
